N,P,Iteration,Status,Time_s,Optimal_Cost
200,500,2,OPTIMAL_30_GAP,51.743,589627.00
200,500,3,OPTIMAL_30_GAP,35.629,600135.00
200,500,4,OPTIMAL_30_GAP,56.680,331889.00
200,500,5,OPTIMAL_30_GAP,48.982,823079.00
200,500,6,OPTIMAL_30_GAP,41.007,433379.00
200,500,7,OPTIMAL_30_GAP,31.037,592180.00
200,500,8,OPTIMAL_30_GAP,46.825,584746.00
200,500,9,OPTIMAL_30_GAP,42.661,408198.00
200,500,10,OPTIMAL_30_GAP,35.235,578315.00
200,1000,1,OPTIMAL_30_GAP,79.709,1332131.00
200,1000,2,OPTIMAL_30_GAP,74.333,738320.00
200,1000,3,OPTIMAL_30_GAP,74.286,1017960.00
200,1000,4,OPTIMAL_30_GAP,57.829,807340.00
200,1000,5,OPTIMAL_30_GAP,71.527,1174236.00
200,1000,6,OPTIMAL_30_GAP,62.695,891027.00
200,1000,7,OPTIMAL_30_GAP,59.358,1072046.00
200,1000,8,OPTIMAL_30_GAP,112.308,628529.00
200,1000,9,OPTIMAL_30_GAP,57.611,883278.00
200,1000,10,OPTIMAL_30_GAP,66.315,995500.00
200,5000,1,OPTIMAL_30_GAP,453.872,6097573.00
200,5000,2,OPTIMAL_30_GAP,410.259,2658947.00
200,5000,3,OPTIMAL_30_GAP,456.714,2435523.00
200,5000,4,OPTIMAL_30_GAP,411.865,4368382.00
200,5000,5,OPTIMAL_30_GAP,479.834,2053783.00
200,5000,6,OPTIMAL_30_GAP,429.416,4141151.00
200,5000,7,OPTIMAL_30_GAP,421.521,4137468.00
200,5000,8,OPTIMAL_30_GAP,424.746,4229901.00
200,5000,9,OPTIMAL_30_GAP,451.800,3500492.00
200,5000,10,OPTIMAL_30_GAP,487.451,4777732.00
